Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
Evergreen Timber Co. AL LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,907.94,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,438.84,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,418.24,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Evergreen Timber Co. AL LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,222.94,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Chilton,999 - NO PREDOMINANT COUNTRY CODE,63.2,2020.0,32.8479,-86.7188,28.3,"Maxwell AFB, AL",Air Force,,,,
"SLATE CREEK WIND PROJECT, LLC",Kansas,Sumner,998 - NO FOREIGN INVESTOR LISTED,17377.49,2015.0,37.2373,-97.4765,28.6,"McConnell AFB, KS",Air Force,,,,
COTTON MEADOWS,Texas,Caldwell,999 - NO PREDOMINANT COUNTRY CODE,70.54,2013.0,29.8368,-97.6199,30.6,"Bergstrom AFB, TX",Air Force,,,,
COTTON MEADOWS,Texas,Caldwell,999 - NO PREDOMINANT COUNTRY CODE,55.67,2013.0,29.8368,-97.6199,30.6,"Bergstrom AFB, TX",Air Force,,,,
"SEACO TEXAS PROPERTIES, INC.",Texas,Harris,999 - NO PREDOMINANT COUNTRY CODE,82.0,1982.0,29.8578,-95.3938,31.1,"Ellington Field, TX",Air Force,,,,
"HZ Solar I, LLC",Texas,Brazoria,999 - NO PREDOMINANT COUNTRY CODE,3000.7,2019.0,29.1898,-95.4521,31.1,"Ellington Field, TX",Air Force,,,,
"STRONG, HANNE M. & MAURICE F.",Colorado,Saguache,999 - NO PREDOMINANT COUNTRY CODE,158.0,1982.0,38.0805,-106.2815,31.9,"Buckley SFB, CO",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,1186.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,984.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,790.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,800.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Kingfisher,999 - NO PREDOMINANT COUNTRY CODE,798.0,2016.0,35.9454,-97.9421,32.1,"Tinker AFB, OK",Air Force,,,,
